Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.2s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.2s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.1s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.3s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.3s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.5s
Preparing reprojection indices for testing
Area_5 done in 0.3s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 58084
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_0.600": 40
[92m"0.480_1.200": 37
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 58084
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_0.600": 40
[92m"0.480_1.200": 37
Calibration done in 0.0s
Model Preparation
*****************
Done in 1.1s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=2.549 acc=  7% / t(ms): 1196.9 216524.2  66.0)
e002-i0286 => L=0.728 acc= 79% / t(ms):   6.2  70.6  87.1)
e002-i0293 => L=1.171 acc= 57% / t(ms):   6.2  70.1  87.0)
e002-i0299 => L=0.804 acc= 77% / t(ms):   6.3  71.4  87.3)
e002-i0306 => L=1.052 acc= 68% / t(ms):   6.2  71.3  86.2)
e002-i0313 => L=0.957 acc= 68% / t(ms):   6.0  71.2  85.3)
e002-i0320 => L=1.024 acc= 66% / t(ms):   6.1  71.9  85.8)
e002-i0327 => L=1.103 acc= 59% / t(ms):   6.4  70.7  84.5)
e002-i0334 => L=1.170 acc= 63% / t(ms):   6.4  71.3  85.2)
e002-i0341 => L=0.902 acc= 74% / t(ms):   6.3  71.4  84.3)
e002-i0347 => L=1.070 acc= 68% / t(ms):   6.3  72.6  86.1)
e002-i0354 => L=1.049 acc= 69% / t(ms):   6.2  73.2  86.8)
e002-i0361 => L=1.100 acc= 58% / t(ms):   6.0  71.9  85.2)
e002-i0368 => L=1.193 acc= 61% / t(ms):   6.2  70.1  84.7)
e002-i0375 => L=1.037 acc= 65% / t(ms):   6.0  70.6  86.0)
e002-i0382 => L=0.894 acc= 70% / t(ms):   6.1  71.6  86.8)
e002-i0389 => L=0.968 acc= 69% / t(ms):   6.3  71.4  86.5)
e002-i0396 => L=0.932 acc= 68% / t(ms):   6.2  70.5  84.5)
e002-i0403 => L=1.077 acc= 63% / t(ms):   6.1  71.6  85.0)
e002-i0410 => L=0.982 acc= 66% / t(ms):   6.2  71.4  83.6)
e002-i0417 => L=1.258 acc= 57% / t(ms):   6.2  69.9  85.0)
e002-i0424 => L=1.301 acc= 61% / t(ms):   6.2  69.7  85.2)
e002-i0431 => L=1.154 acc= 63% / t(ms):   6.2  70.3  85.0)
e002-i0438 => L=0.731 acc= 71% / t(ms):   6.3  71.3  85.9)
e002-i0444 => L=0.922 acc= 69% / t(ms):   6.1  72.9  86.8)
e002-i0451 => L=1.215 acc= 63% / t(ms):   6.0  71.9  86.5)
e002-i0457 => L=1.283 acc= 55% / t(ms):   6.0  73.1  87.1)
e002-i0463 => L=1.345 acc= 55% / t(ms):   6.0  73.6  87.6)
e002-i0470 => L=0.886 acc= 76% / t(ms):   6.1  73.2  87.9)
e002-i0477 => L=1.013 acc= 71% / t(ms):   6.1  71.6  85.6)
e002-i0484 => L=1.225 acc= 54% / t(ms):   6.2  71.3  84.6)
e002-i0490 => L=1.292 acc= 57% / t(ms):   6.2  72.6  86.3)
e002-i0497 => L=0.710 acc= 77% / t(ms):   6.2  71.6  86.2)
Validation : 0.0% (timings : 63.88 4.17)
Validation : 26.0% (timings : 44.62 29.89)
Validation : 56.0% (timings : 34.66 38.55)
Validation : 82.0% (timings : 33.78 41.75)
S3DIS mean IoU = 29.6%
e003-i0000 => L=0.744 acc= 74% / t(ms): 8812.5  42.7 146.3)
e003-i0006 => L=0.855 acc= 68% / t(ms):   9.0  74.4  83.4)
e003-i0013 => L=0.774 acc= 79% / t(ms):   7.3  73.4  85.4)
e003-i0020 => L=1.082 acc= 61% / t(ms):   6.5  71.5  85.5)
e003-i0026 => L=0.984 acc= 66% / t(ms):   6.2  72.9  86.6)
e003-i0033 => L=1.155 acc= 61% / t(ms):   6.0  72.2  85.7)
e003-i0039 => L=0.825 acc= 74% / t(ms):   6.2  73.1  86.8)
e003-i0046 => L=0.786 acc= 75% / t(ms):   6.1  71.5  85.1)
e003-i0053 => L=1.557 acc= 50% / t(ms):   6.3  71.6  85.9)
e003-i0060 => L=0.951 acc= 67% / t(ms):   6.4  71.4  86.2)
e003-i0066 => L=0.904 acc= 69% / t(ms):   6.2  72.8  87.0)
e003-i0073 => L=1.230 acc= 58% / t(ms):   6.4  72.1  86.6)
